ID,Gender,Age,Height,Weight,BMI
1366,Female,23,1.63,55,20.70081674
1367,Female,18,1.64,56,20.82093992
1368,Female,21,1.66,57,20.68515024
1369,Male,23,1.68,60,21.2585034
1370,Female,19,1.56,50,20.54569362
1371,Male,22,1.75,95,31.02040816
1372,Male,18,1.72,53,17.91508924
1373,Female,40,1.55,62,25.80645161
1374,Male,20,1.67,78,27.96801606
1375,Male,24,1.75,84,27.42857143
1376,Male,24,1.7,75,25.95155709
1377,Male,33,1.85,99,28.92622352
1378,Female,20,1.62,45,17.14677641
1379,Female,38,1.56,80,32.8731098
1380,Male,23,1.82,107,32.30286197
1381,Male,27,1.7,78,26.98961938
1382,Male,18,1.75,80,26.12244898
1383,Male,18,1.7,50,17.30103806
1384,Male,23,1.76,90,29.05475207
1385,Male,55,1.78,84,26.51180407
1386,Male,34,1.84,88,25.99243856
1387,Female,21,1.53,65,27.76709812
1388,Male,23,1.74,53,17.50561501
1389,Female,18,1.7,50,17.30103806
1390,Female,19,1.51,59,25.87605807
1391,Female,18,1.5,58,25.77777778
1392,Female,21,1.52,42,18.17867036
1393,Male,24,1.7,85,29.41176471
1394,Female,27,1.55,62,25.80645161
1395,Male,21,1.62,70,26.6727633
1396,Male,18,1.77,87,27.76979795
1397,Female,27,1.55,63,26.2226847
1398,Male,21,1.62,70,26.6727633
1399,Female,22,1.68,52,18.42403628
1400,Male,29,1.77,83,26.49302563
1401,Female,40,1.68,80,28.3446712
1402,Female,19,1.6,45,17.578125
1403,Female,18,1.62,68,25.91068435
1404,Male,18,1.84,60,17.7221172
1405,Male,25,1.7,83,28.71972318
1406,Male,18,1.72,53,17.91508924
1407,Male,22,1.74,94,31.04769454
1408,Female,24,1.5,63,28
1409,Male,27,1.83,99,29.56194571
1410,Female,30,1.65,71,26.07897153
1411,Female,23,1.67,75,26.89232314
1412,Female,21,1.62,69,26.29172382
1413,Female,36,1.65,80,29.38475666
1414,Male,18,1.86,110,31.7955833
1415,Male,29,1.69,90,31.5115017
1416,Female,19,1.53,42,17.94181725
1417,Female,18,1.71,75,25.64891762
1418,Male,22,1.72,82,27.71768524
1419,Male,56,1.79,90,28.08901095
1420,Male,27,1.93,102,27.38328546
1421,Male,17,1.8,97,29.9382716
1422,Female,23,1.48,60,27.39225712
1423,Male,27,1.72,88,29.74580855
1424,Female,15,1.65,86,31.58861341
1425,Female,21,1.72,80,27.04164413
1426,Male,17,1.62,69,26.29172382
1427,Female,24,1.6,45,17.578125
1428,Male,22,1.6,66,25.78125
1429,Female,34,1.68,75,26.57312925
1430,Male,20,1.58,74,29.64268547
1431,Male,20,1.8,85,26.2345679
1432,Male,23,1.7,75,25.95155709
1433,Female,21,1.5,65,28.88888889
1434,Male,44,1.6,80,31.25
1435,Male,45,1.7,86,29.75778547
1436,Male,39,1.78,96,30.29920465
1437,Male,34,1.69,84,29.41073492
1438,Male,20,1.65,80,29.38475666
1439,Male,33,1.85,93,27.17311907
1440,Female,28,1.7,73,25.25951557
1441,Male,24,1.84,86,25.40170132
1442,Male,23,1.72,82,27.71768524
1443,Female,23,1.63,82,30.86303587
1444,Female,20,1.65,75,27.54820937
1445,Male,20,1.76,55,17.75568182
1446,Male,17,1.8,58,17.90123457
1447,Male,19,1.78,81,25.56495392
1448,Male,19,1.8,85,26.2345679
1449,Female,23,1.65,80,29.38475666
1450,Female,29,1.7,78,26.98961938
1451,Female,22,1.67,50,17.92821543
1452,Female,21,1.52,42,18.17867036
1453,Female,37.356288,1.559499,77.26813,31.77094996
1454,Male,22,1.65,80,29.38475666
1455,Female,30,1.71,82,28.04281659
1456,Male,18,1.85,60,17.53104456
1457,Male,18,1.7,78,26.98961938
1458,Female,21,1.67,75,26.89232314
1459,Male,18,1.75,85,27.75510204
1460,Male,18,1.65,85,31.22130395
1461,Male,26,1.74,80,26.42356982
1462,Male,19,1.7,50,17.30103806
1463,Male,23,1.71,50,17.09927841
1464,Male,23,1.67,85.5,30.65724838
1465,Female,23,1.63,45,16.93703188
1466,Male,22,1.88,90,25.46401086
1467,Female,22,1.6,82,32.03125
1468,Female,31,1.62,68,25.91068435
1469,Male,41,1.8,92,28.39506173
1470,Female,52,1.69,87,30.46111831
1471,Female,22,1.73,79,26.3958034
1472,Female,38,1.5,60,26.66666667
1473,Female,23,1.65,70,25.71166208
1474,Female,19,1.63,76,28.60476495
1475,Male,22,1.78,89.8,28.34238101
1476,Male,33,1.72,83,28.05570579
1477,Male,21,1.71,75,25.64891762
1478,Female,19,1.54,42,17.70956316
1479,Male,21,1.79,105,32.77051278
1480,Male,23,1.74,93.5,30.88254723
1481,Male,18,1.7,80,27.6816609
1482,Female,36,1.63,80,30.1102789
1483,Male,23,1.87,95,27.16691927
1484,Female,24,1.7,80,27.6816609
1485,Female,20,1.6,65,25.390625
1486,Male,26,1.85,105,30.67932798
1487,Male,23,1.8,90,27.77777778
1488,Male,23,1.89,65,18.19657904
1489,Female,18,1.6,83,32.421875
1490,Female,20,1.64,49,18.21832243
1491,Female,17,1.7,85,29.41176471
1492,Male,27,1.64,78,29.00059488
1493,Male,19,1.82,87,26.26494385
1494,Female,45,1.63,77,28.98114344
1495,Male,35,1.77,85,27.13141179
1496,Male,19,1.8,87,26.85185185
1497,Female,21,1.6,68,26.5625
1498,Male,21,1.62,70,26.6727633
1499,Male,21,1.62,70,26.6727633
1500,Female,39,1.65,50,18.36547291
1503960366,Female,21,1.523908061,52.59999847,22.64999962
1624580081,Female,20,1.670815342,51.24263039,18.35585026
1644430081,Male,30,1.816611633,61.90022676,18.75720211
1844505072,Male,37,1.762763526,69.40136054,22.33468713
1927972279,Male,46,1.675756991,133.5,47.54000092
2022484408,Male,39,1.732791466,64.55328798,21.49937165
2026352035,Male,25,1.721869444,65.44217687,22.07279344
2320127002,Female,25,1.74498349,55.91836735,18.36419257
2347167796,Male,29,1.772923546,64.16780045,20.4144243
2873212765,Female,30,1.625352362,57.29999924,21.69000053
3372868164,Male,41,1.778257557,61.88662132,19.57074902
3977333714,Male,25,1.724663449,50.96145125,17.13298632
4020332650,Female,27,1.696215392,54.72562358,19.02079737
4057192912,Female,24,1.688849378,57.80045351,20.26513073
4319703577,Male,40,1.624996547,72.30000305,27.37999916
4388161847,Female,23,1.717551435,51.76417234,17.54727859
4445114986,Male,19,1.73482347,56.96598639,18.9280138
4558609924,Female,28,1.599768484,69.09999847,27
4702921684,Male,21,1.70485141,55.53741497,19.10788396
5553957443,Female,25,1.734315469,52.64852608,17.50370648
5577150313,Male,46,1.799801546,90.69999695,28
6117666160,Male,44,1.805689611,63.49206349,19.473017
6290855005,Female,36,1.688087376,58.73015873,20.60968387
6775888955,Male,45,1.743713487,64.83900227,21.32485416
6962181067,Female,34,1.600320631,61.90000153,24.17000008
7007744171,Male,27,1.809245618,62.53968254,19.10559702
7086361926,Female,23,1.70510541,56.25396825,19.34865135
8053475328,Male,28,1.722885446,64.07256236,21.58535959
8253242879,Male,27,1.749555499,65.09750567,21.26713073
8378563200,Female,18,1.612395225,44.39909297,17.07776729
8583815059,Female,22,1.737871476,58.73015873,19.44580223
8792009665,Male,29,1.717805436,64.33106576,21.80081859
8877689391,Male,38,1.827919272,84,25.13999939
